m,e0,e1,a0,a1,Q,T0,T1,s0
24026.0,0.2235494880546075,0.45579788562390744,0.38387580121535003,0.61612419878465,0.15237771459176114,0.20602067678110628,0.3941456425167536,330
24201.0,0.2370149993801909,0.4342382546175778,0.40138837238130654,0.5986116276186935,0.151804747794553,0.22030952710721846,0.3795314013590491,340
24171.0,0.25406478838277274,0.42009019072442183,0.41698729882917546,0.5830127011708245,0.16037276199584144,0.25409541627303495,0.38413205533317574,350
23736.0,0.2712335692618807,0.4000252780586451,0.4356041456016178,0.5643958543983822,0.1629651951931304,0.2757769341213231,0.37545554856964236,360
23934.0,0.2816913177905908,0.3814656973343361,0.4501128102281273,0.5498871897718727,0.15817955171825726,0.2764438597113784,0.3545862640437516,370
23877.0,0.30229928382962684,0.3624827239602965,0.46990827993466516,0.5300917200653349,0.1629709845569423,0.303139980509356,0.3489674295505705,380
23889.0,0.3149148143497007,0.34940767717359456,0.4827535685880531,0.5172464314119469,0.16372761273040126,0.31438118201912,0.3408537346130552,390
24106.0,0.32950302829171163,0.33385879034265326,0.49782211897452916,0.5021778810254708,0.16335233230284274,0.32418309637994563,0.32920746365508435,400
31413.0,0.00028650558685894376,0.9858975583357209,0.007194473625569032,0.992805526374431,0.0004694902722197636,-33.630694874837936,0.2770012362403819,10
31431.0,0.0008908402532531578,0.9742928955489804,0.013298972352136425,0.9867010276478636,0.001427955175260509,-17.684859845165644,0.2909863310402023,20
31074.0,0.0010619810774280748,0.9607388813799318,0.02016154984874815,0.9798384501512518,0.0013109859702491455,-11.668769446337397,0.27361267049864874,30
30150.0,0.002255389718076285,0.9477943615257048,0.027230514096185737,0.9727694859038143,0.003027777640267404,-8.327521637175597,0.2932566248903845,40
30008.0,0.004265529192215409,0.9321181018395095,0.036073713676352974,0.9639262863236471,0.00592843274762378,-6.001844369867867,0.3133150564004051,50
29839.0,0.006032373739066323,0.9207748248935956,0.04262877442273535,0.9573712255772646,0.008430322660563871,-4.91299419893761,0.3276628252768802,60
29526.0,0.007992955361376414,0.9055747476800108,0.051209103840682786,0.9487908961593172,0.010741166090421084,-3.963606807418569,0.32935711684223196,70
29083.0,0.010521610562871781,0.8883540212495272,0.06108379465667228,0.9389162053433278,0.013580761186426482,-3.200065462632891,0.33431052004228484,80
28762.0,0.014324455879285167,0.8758083582504693,0.0692580488144079,0.9307419511855921,0.01905555710741247,-2.658031089168756,0.35712217247357214,90
28266.0,0.01850279487723767,0.8611052147456308,0.07869879006580344,0.9213012099341965,0.02461859063883265,-2.205476825099567,0.3725051873944866,100
27888.0,0.022877223178427997,0.8422977624784854,0.09028973034997131,0.9097102696500287,0.029449975543515028,-1.8131265792729263,0.3779756998060124,110
27913.0,0.026761723927918892,0.8272847777021459,0.09973847311288647,0.9002615268871136,0.03362792181805763,-1.5652228510292843,0.38107156952156696,120
27521.0,0.029795428945169143,0.8145052868718433,0.10764507103666292,0.8923549289633371,0.03641593525336184,-1.3997246990830992,0.3816324147772959,130
27392.0,0.03511974299065421,0.7982257593457944,0.1184469918224299,0.8815530081775701,0.04218010623774293,-1.1890373700579049,0.3889547697249408,140
27193.0,0.04118707020189019,0.78203949545839,0.12957378737175007,0.8704262126282499,0.048795407656061385,-1.0024033717848138,0.397010704811482,150
26705.0,0.048080883729638646,0.7631155214379329,0.14248268114585283,0.8575173188541472,0.05555913860625572,-0.8314650838191113,0.40409389342365004,160
26427.0,0.05498164755742233,0.7454118893555833,0.1547848791009195,0.8452151208990805,0.06204657751827225,-0.697706018766085,0.40809460328516617,170
26118.0,0.0609541312504786,0.7256298338310744,0.1676621487097021,0.8323378512902979,0.06568707028104859,-0.5967798170852575,0.40342139261124615,180
26174.0,0.07010774050584549,0.7087567815389317,0.18067547948345686,0.8193245205165431,0.07492822323853687,-0.47523310433899946,0.4135123093637644,190
26141.0,0.07482498756742283,0.6894916032286447,0.1926666921693891,0.807333307830611,0.07540906659185731,-0.4215641807126624,0.4011961229209917,200
25353.0,0.0837770678026269,0.674555279454108,0.20461089417425946,0.7953891058257405,0.08382289957567379,-0.3342292511172265,0.40995742049778483,210
25789.0,0.09666912249408663,0.6529140331148939,0.22187754468959633,0.7781224553104037,0.09487895531320556,-0.23152875371930107,0.419663390960141,220
25295.0,0.10017790077090334,0.6418659814192528,0.22915595967582525,0.7708440403241748,0.09533089383190974,-0.20810284015865915,0.41270088082985795,230
25470.0,0.11389870435806831,0.6239497447978013,0.24497447978013348,0.7550255202198665,0.10777241722904263,-0.12293391607661094,0.425789397204191,240
25086.0,0.12489037710276649,0.5994180020728693,0.2627361875149486,0.7372638124850515,0.11172014574575251,-0.07070191036505585,0.4168163846649919,250
25024.0,0.13419117647058823,0.5829203964194374,0.27563539002557547,0.7243646099744245,0.11643261647207437,-0.030659143004561892,0.41459638937679877,260
24780.0,0.1423728813559322,0.5699354317998386,0.28621872477804683,0.7137812752219532,0.1209034458847218,0.000898641373025293,0.4139941156620769,270
24866.0,0.16078179039652538,0.5428697820316899,0.30895600418241775,0.6910439958175822,0.1306559557523186,0.06500968836814938,0.4138550379581956,280
24588.0,0.17325524646168863,0.5243614771433219,0.32444688465918337,0.6755531153408166,0.1359789309932784,0.10040020992883443,0.41149189897006083,290
24593.0,0.18704509413247672,0.5072175009148945,0.3399137966087911,0.6600862033912088,0.1430074100149482,0.13649012811418848,0.4131240238853819,300
24469.0,0.19453185663492584,0.4906616535207814,0.3519351015570722,0.6480648984429278,0.14134708185387818,0.1460852656228083,0.3985849286597796,310
24357.0,0.2088516648191485,0.4751406166605083,0.3668555240793201,0.6331444759206799,0.1485373785432717,0.17963438819406213,0.4005948548602546,320
24136.0,0.22659098442161088,0.45417633410672853,0.38620732515744116,0.6137926748425588,0.1548697728326907,0.2142815965902552,0.3980670266090758,330
24189.0,0.2372979453470586,0.4413576419033445,0.39797015172185707,0.602029848278143,0.15783540737108126,0.231595667415327,0.39416404085265516,340
23925.0,0.2568025078369906,0.4244514106583072,0.4161755485893417,0.5838244514106583,0.1672008411867022,0.26802826679208963,0.39803211188521104,350
24150.0,0.2689026915113872,0.4027743271221532,0.43306418219461695,0.566935817805383,0.16271621122298957,0.27245918579550943,0.3762328576062093,360
23815.0,0.2847365106025614,0.3834977955070334,0.450619357547764,0.549380642452236,0.16335741041160373,0.2883790477299474,0.36420105401536174,370
24283.0,0.30016884240003294,0.3664291891446691,0.4668698266276819,0.533130173372318,0.16440281476934238,0.30307947383760314,0.3535329576252712,380
23935.0,0.31318153331940674,0.3516607478587842,0.48076039273031124,0.5192396072696888,0.16410195620240725,0.31399353214586717,0.3423332201642247,390
24056.0,0.32943964083804456,0.33480212836714335,0.49731875623545063,0.5026812437645494,0.16422739106893802,0.32670620014314056,0.33100196726808234,400
31546.0,0.00012679896024852597,0.9866227096937805,0.006752044633234007,0.993247955366766,0.00016241770703862013,-36.37273433349834,0.2597259757654858,10
